종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,70200,상승,+2.03%,10952409,770213,4155586
SK하이닉스,000660,260500,상승,+0.77%,1943002,498048,1896446
LG에너지솔루션,373220,389000,상승,+1.30%,130065,50219,910260
삼성바이오로직스,207940,1027000,하락,-0.39%,26265,26941,730957
한화에어로스페이스,012450,929000,하락,-0.75%,82521,77023,479024
KB금융,105560,114500,하락,-0.95%,423671,48431,436774
현대차,005380,212000,상승,+0.71%,267572,56918,434086
HD현대중공업,329180,479500,상승,+2.79%,198584,95598,425667
두산에너빌리티,034020,66200,하락,-0.15%,4661466,311605,424051
기아,000270,101800,보합,0.00%,294864,30167,404831
